lat,lon,locality,mill,sorg,maiz
12.73333333,34.15,AbuNaama,0,1,0
11.901889,4.392543,Andre,0,0,0
12.705986,5.871866,Bakura,0,0,0
14.698908,-16.456983,Bambey,8,0,0
9.081794,6.005702,Bida,0,1,0
0.458835,34.10946,Busia,0,3,4
11.74704,11.964497,Damaturu,0,0,0
11.164901,-4.305229,FarakoBa,1,3,0
11.822651,13.154291,Galadima,0,0,0
10.282907,11.170659,Gombe,0,3,0
12.130529,5.11558,Gumi,0,0,0
11.077483,13.695827,Gwoza,2,0,0
12.867239,7.061331,Jibiya,0,0,0
12.461239,-1.552899,Kamboinse,3,10,0
12.427128,7.783579,Kankia,0,0,0
12.08333333,30.16666667,Kazgail,0,0,0
12.149681,39.63702,Kobo,0,0,1
13.506128,7.103067,Maradi,0,0,0
12.614931,-7.956554,Mintimbougou,2,13,0
9.2894,5.056659,Mokwa,1,5,1
11.423724,11.130908,Ngezima,0,0,0
13.16666667,30.23333333,Obeid,2,1,0
9.75,8.38333,Samaru,0,0,0
13.8167,-13.916667,SinthionMaleme,0,0,0
9.40079,-0.8393,Tamale,0,0,1
14.383395,33.538424,WadMedani,1,4,2
9.44272,-0.00991,Yendi,1,0,0
